,0
2006-10-01,96627.69999999998
2006-10-02,112677.29000000001
2006-10-03,115066.475
2006-10-04,115351.285
2006-10-05,116327.58499999999
2006-10-06,116213.51999999999
2006-10-07,108585.87
2006-10-08,102454.35500000001
2006-10-09,116214.11
2006-10-10,117416.5
2006-10-11,115635.34
2006-10-12,115777.075
2006-10-13,116113.38
2006-10-14,107803.565
2006-10-15,101391.985
2006-10-16,116105.53
2006-10-17,117530.18
2006-10-18,117968.45000000001
2006-10-19,117704.65000000001
2006-10-20,115880.97
2006-10-21,100568.89499999999
2006-10-22,98165.84
2006-10-23,109186.23
2006-10-24,98970.12
2006-10-25,112764.005
2006-10-26,112229.695
2006-10-27,112675.4
2006-10-28,104440.69
2006-10-29,99441.6
2006-10-30,113910.79000000001
2006-10-31,115323.37
2006-11-01,114405.83499999999
2006-11-02,114067.095
2006-11-03,114222.765
2006-11-04,106220.735
2006-11-05,100526.415
2006-11-06,113531.315
2006-11-07,115016.045
2006-11-08,114648.86
2006-11-09,114007.69
2006-11-10,113237.475
2006-11-11,103388.215
2006-11-12,96627.57
2006-11-13,111449.685
2006-11-14,112874.465
2006-11-15,113280.585
2006-11-16,112553.925
2006-11-17,114071.83000000002
2006-11-18,106817.6
2006-11-19,100162.87
2006-11-20,112918.86
2006-11-21,112666.38
2006-11-22,113058.62
2006-11-23,112482.055
2006-11-24,111596.495
2006-11-25,102793.31
2006-11-26,97173.505
2006-11-27,111215.715
2006-11-28,110676.595
2006-11-29,112227.19999999998
2006-11-30,112644.535
2006-12-01,112369.255
2006-12-02,103566.32500000001
2006-12-03,96873.97
2006-12-04,112184.41
2006-12-05,114109.98000000001
2006-12-06,114210.74
2006-12-07,112171.465
2006-12-08,112494.845
2006-12-09,103541.61000000002
2006-12-10,98740.94
2006-12-11,113456.06999999999
2006-12-12,114290.39499999999
2006-12-13,114201.94
2006-12-14,112911.51999999999
2006-12-15,113240.12
2006-12-16,105395.715
2006-12-17,97230.66
2006-12-18,110349.245
2006-12-19,108908.0
2006-12-20,108951.595
2006-12-21,110120.75
